Nr.,Medie BAC,Nota Română
1,9.48,9.85
2,9.26,8.55
3,9.06,8.35
4,9.6,9.4
5,9.36,9.65
6,9.43,9.35
7,9.15,9.5
8,8.88,8.85
9,9.81,9.65
10,9.75,9.95
11,9.73,9.6
12,9.66,9.55
13,9.16,8.85
14,8.61,8.05
15,9.58,9.85
16,9.58,9.75
17,9.53,9.25
18,9.46,9.35
19,9.46,8.75
20,9.48,9.8
21,9.48,9.65
22,9.46,9.85
23,8.5,7.65
24,9.81,10.0
25,9.63,9.35
26,9.18,8.95
27,8.88,9.05
28,9.7,9.7
29,9.31,9.3
30,9.28,8.65
31,9.23,8.65
32,9.58,9.35
33,8.98,8.85
34,8.65,9.05
35,9.23,9.65
36,9.96,10.0
37,8.85,8.4
38,8.7,8.05
39,9.5,9.05
40,9.63,9.35
41,9.48,9.65
42,9.48,8.7
43,9.16,9.45
44,8.61,8.8
45,9.68,9.6
46,9.61,8.85
47,9.25,9.7
48,9.15,9.4
49,9.0,9.45
50,8.98,9.5
51,8.71,9.2
52,9.61,9.3
53,9.5,9.45
54,9.41,9.45
55,9.33,9.55
56,9.18,9.6
57,9.08,8.45
58,8.96,9.05
59,8.2,6.8
60,9.98,9.95
61,9.45,8.9
62,9.15,8.4
63,7.98,7.75
64,9.71,9.6
65,9.2,9.35
66,8.0,8.65
67,9.35,9.5
68,9.18,8.75
69,9.36,9.4
70,9.15,8.5
71,9.33,9.2
72,9.2,8.8
73,9.16,9.1
74,9.0,8.05
75,8.68,9.4
76,9.3,8.85
77,9.15,9.0
78,8.56,8.25
79,7.65,7.7
80,9.03,9.45
81,8.75,7.8
82,8.15,6.4
83,9.5,9.6
84,8.8,8.25
85,8.18,8.05
86,7.91,8.65
87,9.58,9.85
88,9.63,9.15
89,8.26,8.6
90,9.06,8.35
91,8.85,8.85
92,8.81,8.75
93,8.56,8.45
94,7.83,9.5
95,9.53,9.35
96,8.9,8.15
97,8.36,9.25
98,8.88,9.0
99,8.23,6.3
100,9.7,9.5
101,9.38,9.2
102,7.48,7.05
103,9.25,9.1
104,8.03,9.1
105,8.93,9.1
106,8.81,9.5
107,9.26,8.7
108,8.58,7.2
109,8.21,8.0
